galaxy_id,R_kpc,V_obs,g_obs,V_bar,g_bar
DDO168,0.41,15.0,1.778476439612432e-11,13.301372109673498,1.3984871635248393e-11
DDO168,0.82,23.4,2.1640501317204068e-11,22.071746645881923,1.9253469761654916e-11
DDO168,1.24,29.2,2.2284016562837597e-11,25.138022993067693,1.6515434653771405e-11
DDO168,1.64,36.2,2.589540739473017e-11,25.762765767673315,1.3115672892746746e-11
DDO168,2.06,44.0,3.0457032550307736e-11,27.735754902291735,1.2102141213710532e-11
DDO168,2.47,52.1,3.56145899289939e-11,28.32203735609428,1.0524500283135312e-11
DDO168,2.89,52.9,3.138072378137775e-11,28.554554803043242,9.143287985772632e-12
DDO168,3.3,54.8,2.949148436037204e-11,28.506204587773517,7.98020982395521e-12
DDO168,3.71,55.0,2.642414380628114e-11,28.488123841348344,7.089298164007856e-12
DDO168,4.12,52.0,2.1269580582652925e-11,28.01935937882949,6.175450457448884e-12
DDO170,1.87,27.7,1.329742000745315e-11,20.154862936770375,7.0399171229881914e-12
DDO170,3.36,42.4,1.733971242952162e-11,24.84285410334328,5.952688477258112e-12
DDO170,4.86,52.5,1.8379419584266333e-11,28.66272317837229,5.478328672822603e-12
DDO170,6.35,55.6,1.577703222962532e-11,31.195207965326983,4.9665121244273766e-12
DDO170,7.85,58.6,1.4176696115353531e-11,32.79981249946408,4.441426916848108e-12
DDO170,9.34,59.0,1.20783219575506e-11,32.63231680405178,3.694863474324961e-12
DDO170,10.83,60.0,1.0772673540034673e-11,31.212744192076414,2.91531108759586e-12
DDO170,12.33,62.2,1.0168740103950133e-11,29.074217100379503,2.221787076783764e-12
ESO079-G014,0.41,33.2,8.712479425770696e-11,29.034231520741166,6.663252475595507e-11
ESO079-G014,0.98,50.4,8.400099919577438e-11,47.803850263341765,7.556994983397783e-11
ESO079-G014,1.78,53.9,5.289406966846036e-11,62.455829191517424,7.101914013592656e-11
ESO079-G014,2.69,67.6,5.505421400776795e-11,75.96270729772604,6.95181240092837e-11
ESO079-G014,3.36,81.7,6.438049188917852e-11,82.7209556279423,6.599959390310155e-11
ESO079-G014,4.39,102.0,7.6804254516511e-11,87.36533065238179,5.634601213498924e-11
ESO079-G014,5.65,116.0,7.718217013399568e-11,92.71797506416974,4.9309305235255893e-11
ESO079-G014,6.34,132.0,8.90652024420671e-11,96.73140389759676,4.7829427079645043e-11
ESO079-G014,6.89,137.0,8.828183816149105e-11,101.22834484471234,4.819860899097574e-11
ESO079-G014,8.34,154.0,9.215626096007384e-11,115.10685904845114,5.14856038749251e-11
ESO079-G014,10.04,163.0,8.576122007466006e-11,130.9806523880531,5.537707854285253e-11
ESO079-G014,11.65,170.0,8.039358066940468e-11,136.90796397580382,5.214119175264805e-11
ESO079-G014,13.36,175.0,7.428807316993878e-11,137.8288072211321,4.6081116410188955e-11
ESO079-G014,15.06,177.0,6.741724726106928e-11,134.42007476563907,3.888237175334523e-11
ESO079-G014,16.67,178.0,6.159619137558865e-11,130.66190339957552,3.319034875438874e-11
ESO116-G012,0.25,20.9,5.6624192065904637e-11,17.33139636613276,3.893826132056924e-11
ESO116-G012,0.83,40.0,6.247285378236976e-11,35.00630800298712,4.784802118477078e-11
ESO116-G012,1.38,51.5,6.228519472317068e-11,51.36339260601854,6.195520119777507e-11
ESO116-G012,1.85,67.9,8.076389862825119e-11,61.93297183245771,6.719261857862809e-11
ESO116-G012,2.68,80.2,7.777918665745182e-11,61.776141834854016,4.614835487241748e-11
ESO116-G012,3.19,83.3,7.049345143358475e-11,65.33506944972203,4.336621173883533e-11
ESO116-G012,3.68,91.4,7.356886020966804e-11,68.19718249312064,4.095760009009354e-11
ESO116-G012,4.13,102.0,8.163938918340999e-11,69.97198367918405,3.8419152069783364e-11
ESO116-G012,5.23,105.0,6.831661887536089e-11,69.42425584765024,2.9865530434219694e-11
ESO116-G012,6.05,109.0,6.364247726284278e-11,65.99247305564477,2.332828904602159e-11
ESO116-G012,6.81,108.0,5.550726819104034e-11,62.639955300111765,1.867261836988591e-11
ESO116-G012,7.56,109.0,5.093081844447075e-11,61.778006604292436,1.636045738274642e-11
ESO116-G012,8.32,110.0,4.713152573139569e-11,61.35031621760397,1.4660869893417722e-11
ESO116-G012,9.09,111.0,4.392699849461218e-11,60.56720647347044,1.3078581954642936e-11
ESO116-G012,9.86,112.0,4.122954910067308e-11,57.32175154337139,1.0799693859898494e-11
ESO444-G084,0.26,18.3,4.174248370826341e-11,9.493376638478008,1.1233563110932765e-11
ESO444-G084,0.77,35.3,5.244548916138692e-11,18.765569535721532,1.482116114688286e-11
ESO444-G084,1.29,47.8,5.740048180521854e-11,21.954819516452417,1.2109312501929584e-11
ESO444-G084,1.81,52.8,4.9915879202891087e-11,23.4251253998778,9.825049087543494e-12
ESO444-G084,2.32,58.0,4.699129970442626e-11,23.545838273461406,7.744435790601069e-12
ESO444-G084,3.39,63.1,3.806347855073555e-11,20.045273757172787,3.8412603210527154e-12
ESO444-G084,4.44,62.7,2.8694691925289507e-11,16.779851012449424,2.0551460259703704e-12
ESO563-G021,0.45,18.9,2.57253060037059e-11,65.19,3.060545942372714e-10
ESO563-G021,1.34,58.3,8.220188299144484e-11,120.17,3.492502927535975e-10
ESO563-G021,2.23,74.1,7.979597907223154e-11,137.48,2.7467784960103736e-10
ESO563-G021,3.12,119.0,1.4709190873438994e-10,146.18,2.2195798623565982e-10
ESO563-G021,4.01,141.0,1.6067314978479634e-10,157.86,2.0139527590538265e-10
ESO563-G021,4.9,195.0,2.514910867362151e-10,175.79,2.0438155877360638e-10
ESO563-G021,5.79,227.0,2.8841816240478593e-10,199.19,2.2207821309803488e-10
ESO563-G021,6.69,246.0,2.931524656371382e-10,217.87,2.2994194674902025e-10
ESO563-G021,7.58,268.0,3.07078801744219e-10,228.65,2.2352322799485137e-10
ESO563-G021,8.47,283.0,3.0643538672212623e-10,241.76,2.2363251013436595e-10
ESO563-G021,10.23,291.0,2.6826239594637267e-10,260.94,2.1570247944363478e-10
ESO563-G021,12.06,310.0,2.5824120212702934e-10,275.0400029086679,2.0327963625052286e-10
ESO563-G021,13.44,310.0,2.3172536440862903e-10,277.98028779033956,1.8632802753020514e-10
ESO563-G021,15.18,310.0,2.0516395900210635e-10,282.2671334038024,1.7009764810591156e-10
ESO563-G021,16.83,314.0,1.8985613480269677e-10,283.7363587910439,1.5502270872248388e-10
ESO563-G021,18.56,317.0,1.754648006836389e-10,277.4176075882712,1.3438151321530133e-10
ESO563-G021,20.3,319.0,1.6245563612101646e-10,274.1903712751416,1.2002115897908168e-10
ESO563-G021,21.94,318.0,1.4937126933361833e-10,275.0623645648383,1.117571133966874e-10
ESO563-G021,23.68,317.0,1.3752646540068992e-10,274.2245512349323,1.0291541405708201e-10
ESO563-G021,25.41,317.0,1.2816319168391726e-10,265.4585180400132,8.987483806852266e-11
ESO563-G021,27.06,312.0,1.1658182527786704e-10,257.17034238029856,7.920697523159927e-11
ESO563-G021,28.8,312.0,1.0953834000066256e-10,247.63895028851982,6.90072746609563e-11
ESO563-G021,30.53,311.0,1.0266996845865144e-10,238.15547211853016,6.020655533131255e-11
ESO563-G021,32.18,310.0,9.678026406625153e-11,230.78446091537447,5.3638489901436495e-11
ESO563-G021,33.91,313.0,9.362899034448053e-11,224.30081163473304,4.80820920163671e-11
ESO563-G021,35.65,320.0,9.308718072705419e-11,217.71449767987434,4.30888219170706e-11
ESO563-G021,37.3,321.0,8.952631067474874e-11,212.31512287164097,3.916539237102767e-11
ESO563-G021,39.03,320.0,8.502582610605898e-11,206.59717931278735,3.544048684128133e-11
ESO563-G021,40.76,315.0,7.88926214539558e-11,201.30546962266078,3.222006630673973e-11
ESO563-G021,42.41,312.0,7.438585692098755e-11,196.97196805637088,2.9647633328401766e-11
F561-1,1.61,23.4,1.1021870236091512e-11,29.080512375128468,1.7022670279331894e-11
F561-1,3.23,40.6,1.653860975355782e-11,39.03820308364615,1.5290671935996822e-11
F561-1,4.84,45.5,1.3862031663306988e-11,42.138036261790845,1.1889201244301095e-11
F561-1,6.45,49.2,1.2162418574340803e-11,48.7377030644654,1.1934929434238422e-11
F561-1,8.06,50.4,1.0213520994027156e-11,55.03300191703157,1.2177575178617788e-11
F561-1,9.66,50.4,8.521840498122038e-12,57.449640555881636,1.1072532406084836e-11
F563-1,1.07,22.1,1.479279451410817e-11,18.40680309016207,1.0261773154609438e-11
F563-1,1.78,42.7,3.3195957705572776e-11,24.83910223820499,1.1233141837635264e-11
F563-1,2.49,60.6,4.7796418607546536e-11,28.152530969701463,1.031537444958831e-11
F563-1,2.97,76.8,6.435991258995357e-11,29.33064608903118,9.387204191469129e-12
F563-1,3.04,81.6,7.098330048999646e-11,29.315526602808962,9.16159883509843e-12
F563-1,3.19,87.0,7.68948540617884e-11,29.411999252005973,8.788360517288787e-12
F563-1,6.95,90.0,3.7770233451337396e-11,34.52960758537519,5.55965619365212e-12
F563-1,8.58,97.8,3.6127663617465186e-11,36.978872346246575,5.164990104808418e-12
F563-1,9.26,93.7,3.072682238042408e-11,38.02526791490101,5.060378867946951e-12
F563-1,9.89,103.0,3.476382961293247e-11,39.19242401281146,5.033353275333154e-12
F563-1,10.08,97.4,3.050049140558038e-11,39.63898333711398,5.051657954931583e-12
F563-1,11.84,106.5,3.104537913982576e-11,41.515208056807325,4.717503054043856e-12
F563-1,14.56,112.0,2.7920560036582175e-11,39.8575776986008,3.535980673545552e-12
F563-1,15.43,111.5,2.611158673208721e-11,39.661090504422596,3.3037930192769063e-12
F563-1,17.93,111.0,2.2269738779477118e-11,40.794607486774524,3.0079781898227272e-12
F563-1,19.02,112.5,2.156472812227219e-11,41.311318061761234,2.907883783243282e-12
F563-1,20.1,106.0,1.8116117463679303e-11,41.6653393121909,2.7990022227666444e-12
F563-V1,1.31,12.0,3.5623833416358937e-12,12.001633222191055,3.563353101545562e-12
F563-V1,2.63,21.7,5.8024736115949324e-12,19.422618258103103,4.648461680091338e-12
F563-V1,3.93,28.6,6.745108977140036e-12,27.16969267400719,6.087323139364704e-12
F563-V1,5.24,29.5,5.382229345587911e-12,29.250709393107034,5.291648327494857e-12
F563-V1,6.55,28.6,4.047065386284022e-12,29.991307073883924,4.4503989229995015e-12
F563-V1,7.87,27.3,3.06902210548235e-12,30.840197794437053,3.9165983081991454e-12
F563-V2,0.28,11.9,1.6390241258974877e-11,6.2921300050142,4.5823345996748e-12
F563-V2,0.87,34.8,4.5111647716249205e-11,17.881680569789854,1.1910962775536236e-11
F563-V2,1.46,58.5,7.596408852785675e-11,27.78001619869938,1.7130166663668902e-11
F563-V2,2.05,81.5,1.0500520116458379e-10,35.88963081448456,2.0362616198002226e-11
F563-V2,2.35,91.8,1.1621627601500485e-10,38.599762952640006,2.054711576429122e-11
F563-V2,4.76,114.0,8.84814446477432e-11,48.02736719829643,1.5704353470678254e-11
F563-V2,7.86,116.0,5.5480822042884935e-11,53.59752326367329,1.1844489620843809e-11
F563-V2,8.7,117.0,5.0991985862377405e-11,56.32932628746771,1.1819505748953356e-11
F563-V2,10.18,118.0,4.43267296988301e-11,54.93775568768714,9.608232514193622e-12
F563-V2,10.47,118.0,4.3098959726274154e-11,54.70935294810203,9.264584140539756e-12
F565-V2,1.26,21.7,1.2111512379757677e-11,12.745587471748802,4.178290441698985e-12
F565-V2,2.51,40.3,2.096939138259696e-11,20.2820832263355,5.311300266844875e-12
F565-V2,3.78,57.7,2.854363513828668e-11,24.17198791990431,5.009361712789762e-12
F565-V2,5.03,68.5,3.023170302846289e-11,25.94479716629136,4.336926173756044e-12
F565-V2,6.29,73.5,2.7833863146563974e-11,29.644866334662396,4.527910171895667e-12
F565-V2,7.54,78.5,2.6486063898618918e-11,32.127072695781045,4.436295033418449e-12
F565-V2,8.8,83.1,2.5431315764254146e-11,32.922553060174415,3.991662327388654e-12
F567-2,1.92,26.9,1.2213855739626394e-11,25.87069577726892,1.1297034214778946e-11
F567-2,3.83,46.8,1.8532857524916277e-11,34.52906312079724,1.0088353005971074e-11
F567-2,5.75,47.6,1.277013579829695e-11,32.922029099069825,6.108784419506982e-12
F567-2,7.67,48.1,9.775618478546744e-12,37.30312855512256,5.879556996369393e-12
F567-2,9.59,52.2,9.208138728316769e-12,40.974515250335784,5.673597157881989e-12
F568-1,0.44,15.7,1.815499289050788e-11,12.435191996909417,1.1389424198266848e-11
F568-1,1.32,44.5,4.8617827188970776e-11,28.995382390994603,2.0641117440627808e-11
F568-1,2.2,69.4,7.094890791360828e-11,36.38259473979282,1.9499079585552055e-11
F568-1,3.08,90.0,8.522828652168665e-11,40.30488059776384,1.7092831687027616e-11
F568-1,3.96,105.0,9.022624159548928e-11,41.270592435776834,1.3939130219244255e-11
F568-1,4.84,113.0,8.549898916013377e-11,43.26330546779799,1.2532666676895206e-11
F568-1,5.53,117.0,8.022247323737493e-11,45.29266717692832,1.2022093894127631e-11
F568-1,7.48,124.0,6.661794433480159e-11,54.511401559673736,1.2874268249444469e-11
F568-1,8.37,127.0,6.244985563652545e-11,58.26059474464709,1.3142374071083507e-11
F568-1,9.24,130.0,5.927399350685204e-11,60.92511140736634,1.3018775790478345e-11
F568-1,10.13,133.0,5.65904687661501e-11,63.04616800409046,1.2716201449925977e-11
F568-1,13.23,142.0,4.9393101740560944e-11,68.87459400969271,1.1620042443948908e-11
F568-3,0.64,12.4,7.785972244129935e-12,13.611245350811954,9.38134712396577e-12
F568-3,1.18,21.9,1.3172119959812902e-11,21.226667190117247,1.2374597133631166e-11
F568-3,1.8,32.3,1.8783736807904542e-11,27.76613765002255,1.3880588978561272e-11
F568-3,2.03,37.9,2.2931466896020016e-11,29.79981879139536,1.4176880001182907e-11
F568-3,2.78,53.1,3.286954566102637e-11,36.42926845271532,1.5470543068922485e-11
F568-3,3.0,62.4,4.2062722560254427e-11,38.11444345651658,1.569305024980616e-11
F568-3,3.64,68.0,4.116858087026657e-11,42.50319517401015,1.6083895022379618e-11
F568-3,4.19,78.0,4.705704343703881e-11,45.735798888835426,1.6178862009878965e-11
F568-3,4.6,82.3,4.771899555846976e-11,46.93404414707942,1.551913739876444e-11
F568-3,5.14,85.7,4.630714219323247e-11,48.025644191410905,1.4542287749164124e-11
F568-3,5.39,85.5,4.395344490618412e-11,48.93230630166536,1.4396338873785027e-11
F568-3,6.31,89.5,4.1140177983210055e-11,52.515719551387654,1.4164418060864192e-11
F568-3,9.1,95.2,3.2276167402289e-11,57.83659913929933,1.1912791988112504e-11
F568-3,10.17,97.5,3.029268252230712e-11,59.992083644427616,1.1468758139242885e-11
F568-3,11.99,101.0,2.757230153201531e-11,61.64088253748481,1.0269941455285064e-11
F568-3,14.02,107.0,2.6464823174577015e-11,61.95728367189769,8.873320730576003e-12
F568-3,15.94,117.0,2.7831259535927442e-11,62.64542281763289,7.97884130721827e-12
F568-3,17.98,120.0,2.5955073290005677e-11,62.60240330849927,7.06385506163164e-12
F568-V1,0.39,17.4,2.515841891867744e-11,12.30018699044856,1.2572112983662758e-11
F568-V1,1.18,46.3,5.887479793301082e-11,29.12108686158537,2.3290703519200655e-11
F568-V1,1.95,69.1,7.935438646921007e-11,34.879296151155344,2.0218562200638454e-11
F568-V1,2.74,85.2,8.585746896713272e-11,37.08001213592034,1.626217488701172e-11
F568-V1,3.53,93.2,7.97455713870422e-11,41.37856449902534,1.571902445622797e-11
F568-V1,4.3,100.0,7.536696023163793e-11,44.97301968958722,1.524351411731045e-11
F568-V1,5.09,108.0,7.426414467209915e-11,46.422288827674144,1.3720968621583905e-11
F568-V1,5.87,112.0,6.925440445189719e-11,46.55347570267981,1.196507915083767e-11
F568-V1,6.4,113.0,6.465861055235116e-11,47.139547091587545,1.1252273820276364e-11
F568-V1,7.44,113.0,5.5620310152560134e-11,48.83667883875806,1.038888079445776e-11
F568-V1,8.21,112.0,4.9515633877300416e-11,50.11723256525644,9.914720160082027e-12
